alg,i,D,A,j,diff,num_iter,elapsed_ticks
sp,1000000,1000000,1000094,999906,0,1,53
ds,1000000,1000000,999911,1000089,0,1,60
sp,1000000,1000000,999911,1000089,0,1,53
ds,1000000,1000000,1000075,999925,0,1,59
sp,1000000,1000000,1000075,999925,0,1,53
ds,1000000,1000000,999939,1000061,0,1,60
sp,1000000,1000000,999939,1000061,0,1,53
ds,1000000,1000000,1000017,999983,0,1,57
sp,1000000,1000000,1000017,999983,0,1,53
ds,1000000,1000000,999989,1000011,0,1,60
sp,1000000,1000000,999989,1000011,0,1,53
ds,1000000,1000000,999964,1000036,0,1,59
sp,1000000,1000000,999964,1000036,0,1,56
ds,1000000,1000000,1000067,999933,0,1,59
sp,1000000,1000000,1000067,999933,0,1,53
ds,1000000,1000000,1000044,999956,0,1,57
sp,1000000,1000000,1000044,999956,0,1,54
ds,1000000,1000000,999913,1000087,0,1,62
sp,1000000,1000000,999913,1000087,0,1,53
ds,1000000,1000000,1000041,999959,0,1,57
sp,1000000,1000000,1000041,999959,0,1,53
ds,1000000,1000000,1000036,999964,0,1,57
sp,1000000,1000000,1000036,999964,0,1,56
ds,1000000,1000000,1000026,999974,0,1,57
sp,1000000,1000000,1000026,999974,0,1,53
ds,1000000,1000000,999946,1000054,0,1,60
sp,1000000,1000000,999946,1000054,0,1,54
ds,1000000,1000000,1000002,999998,0,1,59
sp,1000000,1000000,1000002,999998,0,1,53
ds,1000000,1000000,999991,1000009,0,1,60
sp,1000000,1000000,999991,1000009,0,1,53
ds,1000000,1000000,1000010,999990,0,1,57
sp,1000000,1000000,1000010,999990,0,1,56
ds,1000000,1000000,1000056,999944,0,1,57
sp,1000000,1000000,1000056,999944,0,1,53
ds,1000000,1000000,999993,1000007,0,1,59
sp,1000000,1000000,999993,1000007,0,1,56
ds,1000000,1000000,1000002,999998,0,1,60
sp,1000000,1000000,1000002,999998,0,1,54
ds,1000000,1000000,1000077,999923,0,1,57
sp,1000000,1000000,1000077,999923,0,1,53
ds,1000000,1000000,1000083,999917,0,1,59
sp,1000000,1000000,1000083,999917,0,1,53
ds,1000000,1000000,1000004,999996,0,1,57
sp,1000000,1000000,1000004,999996,0,1,53
ds,1000000,1000000,999909,1000091,0,1,60
sp,1000000,1000000,999909,1000091,0,1,56
ds,1000000,1000000,1000080,999920,0,1,57
sp,1000000,1000000,1000080,999920,0,1,52
ds,1000000,1000000,1000018,999982,0,1,57
sp,1000000,1000000,1000018,999982,0,1,53
ds,1000000,1000000,999989,1000011,0,1,62
sp,1000000,1000000,999989,1000011,0,1,53
ds,1000000,1000000,1000059,999941,0,1,57
sp,1000000,1000000,1000059,999941,0,1,53
ds,1000000,1000000,999980,1000020,0,1,60
sp,1000000,1000000,999980,1000020,0,1,56
ds,1000000,1000000,999963,1000037,0,1,60
sp,1000000,1000000,999963,1000037,0,1,53
ds,1000000,1000000,999948,1000052,0,1,60
sp,1000000,1000000,999948,1000052,0,1,55
ds,1000000,1000000,999965,1000035,0,1,62
sp,1000000,1000000,999965,1000035,0,1,54
ds,1000000,1000000,1000044,999956,0,1,57
sp,1000000,1000000,1000044,999956,0,1,53
ds,1000000,1000000,999975,1000025,0,1,60
sp,1000000,1000000,999975,1000025,0,1,53
ds,1000000,1000000,1000057,999943,0,1,57
sp,1000000,1000000,1000057,999943,0,1,53
ds,1000000,1000000,1000054,999946,0,1,58
sp,1000000,1000000,1000054,999946,0,1,56
ds,1000000,1000000,999984,1000016,0,1,62
sp,1000000,1000000,999984,1000016,0,1,54
ds,1000000,1000000,999990,1000010,0,1,59
sp,1000000,1000000,999990,1000010,0,1,54
